"","Cast.Ballot","Represented","Close.To.Party","Contacted","log.Magnitude","Age","Age.Squared.by.100","Male","Education","Married","Union.Member","Household.Income","Rural","Small.Town","Suburb","White.Collar","Worker","Hakka","MinNan","Mainlander"
"60018",1,1,1,1,1.79175946922805,56,31.36,1,3,1,1,2,1,0,0,1,0,0,1,0
"60019",1,NA,0,0,2.19722457733622,69,47.61,1,3,1,0,NA,0,0,1,NA,NA,0,1,0
"60020",0,0,0,1,2.56494935746154,33,10.89,1,8,0,0,2,0,0,1,1,0,1,0,0
"60021",0,0,0,1,2.56494935746154,41,16.81,1,3,1,0,1,0,0,1,1,0,0,1,0
"60022",1,1,1,1,2.56494935746154,33,10.89,0,6,1,0,4,0,0,1,0,1,0,0,1
"60023",0,0,0,1,0,73,53.29,0,1,1,0,1,0,0,1,NA,NA,0,1,0
"60024",0,0,0,1,0,23,5.29,1,8,0,0,NA,0,0,1,1,0,0,1,0
"60025",1,NA,0,1,0,28,7.84,1,6,1,0,1,0,0,1,0,1,0,1,0
"60026",1,NA,1,0,2.19722457733622,33,10.89,1,8,1,0,5,0,0,1,1,0,0,1,0
"60027",1,1,1,0,1.09861228866811,69,47.61,0,3,1,0,1,0,0,1,NA,NA,0,1,0
"60028",0,0,0,0,1.70474809223843,23,5.29,1,5,0,0,NA,0,0,0,NA,NA,0,1,0
"60029",1,1,1,1,2.19722457733622,64,40.96,0,5,1,1,2,0,0,1,NA,NA,0,1,0
"60030",1,NA,1,1,1.79175946922805,39,15.21,1,7,1,0,1,0,0,1,1,0,0,1,0
"60031",1,1,1,1,1.09861228866811,32,10.24,0,5,1,0,2,0,0,1,NA,NA,0,0,0
"60032",1,NA,0,1,1.09861228866811,44,19.36,0,5,1,0,1,0,0,1,NA,NA,0,1,0
"60033",1,0,0,1,1.70474809223843,51,26.01,1,7,1,0,NA,0,0,0,NA,NA,1,0,0
"60034",1,0,0,1,1.94591014905531,24,5.76,0,6,0,0,2,1,0,0,NA,NA,1,0,0
"60035",1,1,1,0,2.30258509299405,55,30.25,0,6,1,0,1,0,0,0,NA,NA,0,1,0
"60036",1,1,0,1,2.30258509299405,43,18.49,0,6,1,0,4,0,0,0,1,0,0,1,0
"60037",1,0,0,0,2.30258509299405,45,20.25,0,8,1,0,5,0,0,0,1,0,0,0,1
"60038",1,NA,1,1,1.79175946922805,73,53.29,1,3,1,0,1,0,0,1,NA,NA,0,1,0
"60039",1,1,1,1,0.693147180559945,54,29.16,0,3,1,1,5,0,0,1,NA,NA,0,1,0
"60040",1,NA,NA,1,2.56494935746154,71,50.41,0,1,1,0,NA,0,0,1,NA,NA,1,0,0
"60041",0,0,0,1,2.56494935746154,68,46.24,1,3,1,0,1,0,0,1,0,0,1,0,0
"60042",0,1,1,0,2.56494935746154,23,5.29,0,7,0,0,2,0,0,1,1,0,1,0,0
"60043",1,0,1,1,2.56494935746154,23,5.29,1,7,0,0,4,0,0,1,NA,NA,1,0,0
"60044",1,0,0,1,2.56494935746154,44,19.36,1,6,1,0,3,0,0,1,0,1,1,0,0
"60045",1,0,0,1,2.56494935746154,48,23.04,0,2,1,1,4,0,0,1,NA,NA,1,0,0
"60046",1,0,0,1,2.56494935746154,34,11.56,0,7,1,1,4,0,0,1,1,0,0,0,1
"60047",1,1,1,1,2.56494935746154,35,12.25,0,6,1,1,2,0,0,1,0,1,0,1,0
"60048",1,0,0,0,2.56494935746154,47,22.09,0,6,1,1,4,0,0,1,0,1,1,0,0
"60049",0,1,1,0,2.19722457733622,27,7.29,1,6,0,0,3,0,0,1,NA,NA,0,0,1
"60050",1,0,0,1,2.56494935746154,37,13.69,0,6,1,1,3,0,0,1,NA,NA,1,0,0
"60051",1,NA,0,0,2.30258509299405,32,10.24,0,7,0,0,5,0,0,0,1,0,0,1,0
"60052",1,0,0,1,2.30258509299405,64,40.96,0,5,1,0,5,0,0,0,NA,NA,1,0,0
"60053",1,0,0,1,1.38629436111989,53,28.09,1,5,1,1,NA,0,0,1,1,0,0,1,0
"60054",1,0,0,1,1.79175946922805,44,19.36,0,6,1,1,1,1,0,0,1,0,0,1,0
"60055",0,0,1,1,1.09861228866811,53,28.09,0,3,1,1,NA,1,0,0,NA,NA,1,0,0
"60056",0,0,0,1,2.19722457733622,31,9.61,0,6,1,0,2,1,0,0,NA,NA,0,1,0
"60057",1,0,0,1,1.38629436111989,42,17.64,0,6,1,1,1,0,1,0,1,0,0,1,0
"60058",1,0,0,1,2.39789527279837,50,25,1,3,1,0,2,1,0,0,0,1,1,0,0
"60059",1,1,1,1,1.94591014905531,70,49,1,7,1,0,4,0,0,1,NA,NA,0,0,1
"60060",1,1,1,1,2.19722457733622,32,10.24,1,7,0,0,4,0,0,1,1,0,0,1,0
"60061",0,0,0,0,1.38629436111989,61,37.21,0,1,1,0,2,0,1,0,NA,NA,0,1,0
"60062",1,0,1,0,2.19722457733622,25,6.25,1,6,0,0,4,0,0,1,NA,NA,0,0,1
"60063",0,1,1,0,2.19722457733622,22,4.84,0,7,0,0,3,0,0,1,NA,NA,0,1,0
"60064",1,0,0,1,2.19722457733622,41,16.81,0,5,0,0,1,0,0,1,0,1,0,1,0
"60065",1,0,0,0,1.79175946922805,23,5.29,0,7,0,0,NA,0,0,1,1,0,0,1,0
"60066",1,0,0,1,1.38629436111989,33,10.89,1,8,1,0,5,0,1,0,1,0,1,0,0
"60067",0,1,0,0,2.30258509299405,21,4.41,0,7,0,0,2,0,0,0,NA,NA,0,1,0
"60068",1,1,1,1,2.39789527279837,30,9,0,8,0,0,5,1,0,0,1,0,0,1,0
"60069",1,1,1,1,2.30258509299405,40,16,0,7,1,0,5,0,0,0,1,0,0,1,0
"60070",1,NA,0,1,2.39789527279837,51,26.01,0,3,1,1,2,1,0,0,0,1,0,1,0
